titles,original price,discount price,urls
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023...,"₹87,900","₹65,990",https://www.flipkart.com/panasonic-convertible-7-in-1-additional-ai-mode-cooling-2023-model-2-ton-5-star-split-inverter-4-way-swing-pm-0-1-air-purification-filter-ac-wi-fi-connect-white/p/itm7ecc1299b3134?pid=ACNGHHH2ARFSUWC9&lid=LSTACNGHHH2ARFSUWC9NJ4KIQ&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_4_YTPUQAX68HI6_MC.ACNGHHH2ARFSUWC9&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Air%2BConditioners_1_4.productCard.PMU_V2_Panasonic%2BConvertible%2B7-in-1%2Bwith%2BAdditional%2BAI%2BMode%2BCooling%2B2023%2BModel%2B2%2BTon%2B5%2BStar%2BSplit%2BInverter%2Bwith%2B4%2BWay%2BSwing%252C%2BPM%2B0.1%2BAir%2BPurification%2BFilter%2BAC%2Bwith%2BWi-fi%2BConnect%2B%2B-%2BWhite_acnewclp-store_ACNGHHH2ARFSUWC9_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Air%2BConditioners_LIST_productCard_cc_1_NA_view-all&cid=ACNGHHH2ARFSUWC9
Haier Heavy Duty 2023 Model 2 Ton 3 Star Split Inverter Frost Sel...,"₹88,990","₹52,990",https://www.flipkart.com/haier-heavy-duty-2023-model-2-ton-3-star-split-inverter-frost-self-clean-triple-plus-technology-cooling-extreme-temperature-hyper-pcb-ac-white/p/itm489aa8db28dbb?pid=ACNGMF2GDJGA3YV7&lid=LSTACNGMF2GDJGA3YV7NUIQJY&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_4_YTPUQAX68HI6_MC.ACNGMF2GDJGA3YV7&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Air%2BConditioners_2_4.productCard.PMU_V2_Haier%2BHeavy%2BDuty%2B2023%2BModel%2B2%2BTon%2B3%2BStar%2BSplit%2BInverter%2BFrost%2BSelf%2BClean%252C%2BTriple%2BInverter%2BPlus%2BTechnology%252C%2BCooling%2Bat%2BExtreme%2BTemperature%252C%2BHyper%2BPCB%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGMF2GDJGA3YV7_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Air%2BConditioners_LIST_productCard_cc_2_NA_view-all&cid=ACNGMF2GDJGA3YV7
LG AI Convertible 6-in-1 Cooling 2023 Model 2 Ton 3 Star Split AI...,"₹85,990","₹50,990",https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-2-ton-3-star-split-dual-inverter-4-way-swing-hd-filter-anti-virus-protection-ac-white/p/itm38ade154590cd?pid=ACNGHBX4KVAZFZ4E&lid=LSTACNGHBX4KVAZFZ4EBAHMQL&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_4_YTPUQAX68HI6_MC.ACNGHBX4KVAZFZ4E&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Air%2BConditioners_3_4.productCard.PMU_V2_LG%2BAI%2BConvertible%2B6-in-1%2BCooling%2B2023%2BModel%2B2%2BTon%2B3%2BStar%2BSplit%2BAI%2BDual%2BInverter%2B4%2BWay%2BSwing%252C%2BHD%2BFilter%2Bwith%2BAnti-Virus%2BProtection%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGHBX4KVAZFZ4E_neo%2Fmerchandising_2&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Air%2BConditioners_LIST_productCard_cc_3_NA_view-all&cid=ACNGHBX4KVAZFZ4E
LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split ...,"₹81,990","₹49,990",https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-1-5-ton-5-star-split-dual-inverter-4-way-swing-hd-filter-anti-virus-protection-ac-wi-fi-connect-floral/p/itm5ab38593a3b1e?pid=ACNGHBX4CZGHZD4Z&lid=LSTACNGHBX4CZGHZD4ZKNWZLT&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_4_YTPUQAX68HI6_MC.ACNGHBX4CZGHZD4Z&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Air%2BConditioners_4_4.productCard.PMU_V2_LG%2BAI%2BConvertible%2B6-in-1%2BCooling%2B2023%2BModel%2B1.5%2BTon%2B5%2BStar%2BSplit%2BAI%2BDual%2BInverter%2B4%2BWay%2BSwing%252C%2BHD%2BFilter%2Bwith%2BAnti-Virus%2BProtection%2BAC%2Bwith%2BWi-fi%2BConnect%2B%2B-%2BFloral_acnewclp-store_ACNGHBX4CZGHZD4Z_neo%2Fmerchandising_3&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Air%2BConditioners_LIST_productCard_cc_4_NA_view-all&cid=ACNGHBX4CZGHZD4Z
CARRIER Convertible 4-in-1 Cooling 2023 Model 2 Ton 3 Star Split ...,"₹80,890","₹48,990",https://www.flipkart.com/carrier-convertible-4-in-1-cooling-2023-model-2-ton-3-star-split-ai-flexicool-inverter-dual-filtration-hd-pm-2-5-filter-ac-white/p/itmdda6dd8eeaaff?pid=ACNGHMTYNBQS5YTF&lid=LSTACNGHMTYNBQS5YTFWJNNZE&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_4_YTPUQAX68HI6_MC.ACNGHMTYNBQS5YTF&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Air%2BConditioners_5_4.productCard.PMU_V2_CARRIER%2BConvertible%2B4-in-1%2BCooling%2B2023%2BModel%2B2%2BTon%2B3%2BStar%2BSplit%2BAI%2BFlexicool%2BInverter%2BDual%2BFiltration%2Bwith%2BHD%2B%2526%2BPM%2B2.5%2BFilter%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGHMTYNBQS5YTF_neo%2Fmerchandising_4&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Air%2BConditioners_LIST_productCard_cc_5_NA_view-all&cid=ACNGHMTYNBQS5YTF
"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 2 Ton 3 Star ...","₹63,490","₹48,490",https://www.flipkart.com/ifb-fastcool-convertible-8-in-1-cooling-2023-model-2-ton-3-star-split-inverter-smart-ready-7-stage-air-treatment-ac-white/p/itmeafde026da893?pid=ACNGKQGADUW5GCRY&lid=LSTACNGKQGADUW5GCRYJYAS5P&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_4_YTPUQAX68HI6_MC.ACNGKQGADUW5GCRY&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Air%2BConditioners_6_4.productCard.PMU_V2_IFB%2BFastCool%2BConvertible%2B8-in-1%2BCooling%252C%2B2023%2BModel%2B2%2BTon%2B3%2BStar%2BSplit%2BInverter%2BSmart%2BReady%252C%2B7%2BStage%2BAir%2BTreatment%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGKQGADUW5GCRY_neo%2Fmerchandising_5&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Air%2BConditioners_LIST_productCard_cc_6_NA_view-all&cid=ACNGKQGADUW5GCRY
Godrej 5-In-1 Convertible Cooling 2023 Model 2 Ton 5 Star Split I...,"₹69,000","₹48,990",https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-2-ton-5-star-split-inverter-4-way-air-swing-ac-white/p/itm7354d41d50dcc?pid=ACNGNSBERZSRWGGZ&lid=LSTACNGNSBERZSRWGGZ0PIPYX&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_7_YI9PU847LGFC_MC.ACNGNSBERZSRWGGZ&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Inverter%2BACs_1_7.productCard.PMU_V2_Godrej%2B5-In-1%2BConvertible%2BCooling%2B2023%2BModel%2B2%2BTon%2B5%2BStar%2BSplit%2BInverter%2Bwith%2B4-way%2BAir%2BSwing%2BAC%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGNSBERZSRWGGZ_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Inverter%2BACs_LIST_productCard_cc_1_NA_view-all&cid=ACNGNSBERZSRWGGZ
Daikin 2023 Model 1.8 Ton 3 Star Split Inverter AC  - White,"₹72,900","₹47,999",https://www.flipkart.com/daikin-2023-model-1-8-ton-3-star-split-inverter-ac-white/p/itmd7a34167668ae?pid=ACNGFSYTSV96QHZJ&lid=LSTACNGFSYTSV96QHZJFEPQQ4&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_7_YI9PU847LGFC_MC.ACNGFSYTSV96QHZJ&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Inverter%2BACs_2_7.productCard.PMU_V2_Daikin%2B2023%2BModel%2B1.8%2BTon%2B3%2BStar%2BSplit%2BInverter%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGFSYTSV96QHZJ_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Inverter%2BACs_LIST_productCard_cc_2_NA_view-all&cid=ACNGFSYTSV96QHZJ
Blue Star 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹59,990","₹47,689",https://www.flipkart.com/blue-star-2023-model-1-5-ton-5-split-inverter-ac-white/p/itmd25db16332930?pid=ACNGN9NZNHE9VBXT&lid=LSTACNGN9NZNHE9VBXTVUJKTW&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_7_YI9PU847LGFC_MC.ACNGN9NZNHE9VBXT&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Inverter%2BACs_3_7.productCard.PMU_V2_Blue%2BStar%2B2023%2BModel%2B1.5%2BTon%2B5%2BStar%2BSplit%2BInverter%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGN9NZNHE9VBXT_neo%2Fmerchandising_2&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Inverter%2BACs_LIST_productCard_cc_3_NA_view-all&cid=ACNGN9NZNHE9VBXT
Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Fi...,"₹67,200","₹44,780",https://www.flipkart.com/daikin-2023-model-1-5-ton-5-star-split-inverter-ac-pm-2-5-filter-white/p/itm84f4a6e1680e9?pid=ACNGB2YAZEB79THV&lid=LSTACNGB2YAZEB79THVLGIGWW&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_7_YI9PU847LGFC_MC.ACNGB2YAZEB79THV&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Inverter%2BACs_4_7.productCard.PMU_V2_Daikin%2B2023%2BModel%2B1.5%2BTon%2B5%2BStar%2BSplit%2BInverter%2BAC%2Bwith%2BPM%2B2.5%2BFilter%2B%2B-%2BWhite_acnewclp-store_ACNGB2YAZEB79THV_neo%2Fmerchandising_3&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Inverter%2BACs_LIST_productCard_cc_4_NA_view-all&cid=ACNGB2YAZEB79THV
